timestamp,src_ip,dst_ip,username,department,protocol,source_port,destination_port,packet_size,bytes_sent,bytes_received,session_duration,login_time,logout_time,login_success,failed_login_count,file_access_count,email_sent_count,usb_inserted,database_queries,privilege_level,access_sensitive_data,off_hours_activity,geo_location,vpn_used,anomaly_score,insider_threat_label,hour,dayofweek,month
2026-06-11 08:54:24,10.101.238.14,10.215.20.63,user_97,3,0,56433,80,1006,-0.38044960758514534,0.9432575691463515,4109,2026-06-11 08:54:24,2026-06-11 17:23:24,1,-0.9675724709699153,0.7811250952331888,22,0,1.3131296854750723,2,0,1,2,1,33.72,0,8.0,3.0,6.0
,172.21.66.61,172.28.209.132,user_181,1,4,18790,80,277,-0.6417245664901315,-1.0588036797771105,4079,,,1,1.3752893952716054,0.34661110795458,7,0,-0.01522908312136368,2,1,0,2,0,81.09,0,,,
2026-06-11 08:37:54,172.30.194.60,172.24.67.82,user_391,5,2,41742,3389,423,-1.002157826891116,0.3604858493644496,6415,2026-06-11 08:37:54,,1,0.0736994695818717,-0.19278556590852058,15,0,0.060677132227004084,1,0,0,0,1,52.47,0,8.0,3.0,6.0
,172.20.111.16,10.158.171.110,user_68,3,5,62603,80,1442,1.533213606950223,1.1389897300098293,3458,,,1,0.3340174547198184,-0.3875676981368625,7,0,0.49713787048011876,2,0,0,0,1,38.23,0,,,
,10.29.163.4,10.30.119.236,user_316,5,0,15656,80,1389,0.48131085103662546,-0.28201849482173164,3147,,,1,-0.18661851555607503,-1.4214113230411387,24,0,-0.6035022520712139,0,0,0,4,1,29.44,0,,,
2026-06-11 13:45:36,10.98.119.192,192.168.174.144,user_481,2,4,2425,22,948,0.5028788279925719,-0.6886632338846136,2466,2026-06-11 13:45:36,,0,-0.9675724709699153,0.49644351736099684,0,0,0.041700578389912146,1,0,0,1,1,35.44,0,13.0,3.0,6.0
2026-06-11 17:24:36,172.27.46.241,172.30.80.71,user_207,5,3,37304,80,579,1.9366728789731265,1.3663027149882079,5046,2026-06-11 17:24:36,,1,0.5943354398577652,-0.46248390284007085,14,0,-0.22397117532937505,2,0,0,1,0,50.72,0,17.0,3.0,6.0
,172.21.158.121,192.168.56.18,user_443,1,1,49339,80,859,0.6583275819552437,-0.8762253145547287,6239,,2026-06-11 14:52:12,0,-0.9675724709699153,-0.1778023249678789,14,0,-0.9640567749759608,1,0,0,1,0,56.21,0,,,
,192.168.243.191,172.30.229.18,user_402,3,4,6330,443,1389,0.8733303384659215,-0.23808548678482966,4910,,2026-06-11 01:14:00,1,-0.18661851555607503,-0.6872325169496961,16,0,-0.7553146827679494,0,0,0,4,1,43.34,0,,,
,10.137.8.230,192.168.168.199,user_45,2,4,1628,445,403,-0.45886353489394954,-0.45594648222365236,3741,,2026-06-11 00:05:00,1,0.5943354398577652,-0.20776880684916227,12,0,-0.546572590559938,1,0,0,2,1,39.91,0,,,
