timestamp,src_ip,dst_ip,username,department,protocol,source_port,destination_port,packet_size,bytes_sent,bytes_received,session_duration,login_time,logout_time,login_success,failed_login_count,file_access_count,email_sent_count,usb_inserted,database_queries,privilege_level,access_sensitive_data,off_hours_activity,geo_location,vpn_used,anomaly_score,insider_threat_label
08:54.4,10.101.238.14,10.215.20.63,user_97,IT,HTTPS,56433,80,1006,487787,1449897,4109,08:54.4,17:23.4,1,0,149,22,0,142,User,0,1,Singapore,1,33.72,0
26:03.5,172.21.66.61,172.28.209.132,user_181,Finance,TCP,18790,80,277,352328,253573,4079,26:03.5,34:02.5,1,9,120,7,0,72,User,1,0,Singapore,0,81.09,0
08:37.9,172.30.194.60,172.24.67.82,user_391,Research,SMB,41742,3389,423,165460,1101664,6415,08:37.9,55:32.9,1,4,84,15,0,76,PowerUser,0,0,Germany,1,52.47,0
50:49.7,172.20.111.16,10.158.171.110,user_68,IT,UDP,62603,80,1442,1479933,1566856,3458,50:49.7,48:27.7,1,5,71,7,0,99,User,0,0,Germany,1,38.23,0
50:19.6,10.29.163.4,10.30.119.236,user_316,Research,HTTPS,15656,80,1389,934570,717738,3147,50:19.6,42:46.6,1,3,2,24,0,41,Admin,0,0,USA,1,29.44,0
13:45.6,10.98.119.192,192.168.174.144,user_481,HR,TCP,2425,22,948,945752,474749,2466,13:45.6,54:51.6,0,0,130,0,0,75,PowerUser,0,0,India,1,35.44,0
17:24.6,172.27.46.241,172.30.80.71,user_207,Research,SSH,37304,80,579,1689108,1702686,5046,17:24.6,41:30.6,1,6,66,14,0,61,User,0,0,India,0,50.72,0
30:53.2,172.21.158.121,192.168.56.18,user_443,Finance,RDP,49339,80,859,1026345,362672,6239,30:53.2,14:52.2,0,0,85,14,0,22,PowerUser,0,0,India,0,56.21,0
39:24.0,192.168.243.191,172.30.229.18,user_402,IT,TCP,6330,443,1389,1137814,743990,4910,39:24.0,01:14.0,1,3,51,16,0,33,Admin,0,0,USA,1,43.34,0
57:44.0,10.137.8.230,192.168.168.199,user_45,HR,TCP,1628,445,403,447133,613808,3741,57:44.0,00:05.0,1,6,83,12,0,44,PowerUser,0,0,Singapore,1,39.91,0
42:39.0,172.18.121.75,192.168.74.68,user_386,Research,SSH,15202,443,423,1114003,1263039,2942,42:39.0,31:41.0,1,11,323,14,0,126,PowerUser,1,0,Singapore,0,73.34,1
04:09.0,172.22.123.39,192.168.146.243,user_20,IT,HTTPS,42277,80,197,44520,38994,3533,04:09.0,03:02.0,1,4,113,11,0,67,PowerUser,0,0,UK,1,70.48,0
32:39.0,10.85.217.148,172.23.73.110,user_166,Admin,UDP,41998,80,704,518211,1561738,3455,32:39.0,30:14.0,1,4,87,12,0,43,Admin,0,1,UK,0,42.68,0
34:52.7,192.168.227.17,10.45.83.226,user_127,Research,HTTPS,7501,80,915,724232,668879,5539,34:52.7,07:11.7,1,0,84,20,0,88,User,0,0,Singapore,1,25.82,0
29:01.7,172.22.35.208,172.18.131.225,user_534,Operations,SMB,62622,445,916,1045172,710766,4457,29:01.7,43:18.7,1,2,146,0,1,98,PowerUser,0,1,UK,0,57.41,0
34:35.9,172.21.126.49,10.112.75.217,user_114,Operations,RDP,3470,22,1344,560264,1227708,1437,34:35.9,58:32.9,1,0,45,18,1,94,Admin,0,0,Singapore,0,62.35,0
06:23.3,192.168.9.181,10.114.183.157,user_50,Research,RDP,31097,22,466,355242,621022,3785,06:23.3,09:28.3,1,8,56,21,0,1,PowerUser,0,0,Germany,0,42.35,0
08:46.0,10.84.245.239,10.99.51.70,user_181,Research,TCP,52995,445,896,1494548,1585005,4198,08:46.0,18:44.0,0,1,129,31,0,148,Admin,0,1,USA,1,44.49,1
02:32.4,172.22.39.253,192.168.107.248,user_24,Operations,TCP,52754,3389,175,8902,1629941,4724,02:32.4,21:16.4,1,4,88,27,0,1,PowerUser,1,0,Germany,0,51.54,0
08:19.1,10.134.252.9,172.22.43.47,user_341,HR,HTTPS,32817,80,829,1413253,751205,4787,08:19.1,28:06.1,1,0,110,38,0,120,PowerUser,0,0,UK,0,22.04,0
47:42.4,192.168.167.174,192.168.254.64,user_9,Admin,TCP,65356,80,352,859032,119707,2183,47:42.4,24:05.4,1,5,118,20,0,35,Admin,0,0,Singapore,1,31.88,0
08:03.0,192.168.237.99,172.26.10.100,user_475,Admin,SMB,4820,22,480,576274,86946,6078,08:03.0,49:21.0,1,2,163,11,0,13,PowerUser,0,0,India,0,44.54,1
45:02.6,172.18.220.247,192.168.43.136,user_138,HR,SMB,28368,445,750,1186527,768394,5288,45:02.6,13:10.6,1,1,73,30,0,84,User,0,1,Germany,1,26.86,0
42:33.8,10.116.189.205,172.20.97.94,user_426,IT,HTTPS,45725,445,281,1559419,603764,5727,42:33.8,18:00.8,1,13,103,35,0,208,User,0,0,Singapore,1,49.76,1
11:53.0,10.142.238.108,192.168.98.182,user_134,Research,SMB,6259,445,695,478819,1156808,2910,11:53.0,00:23.0,1,0,31,16,0,15,Admin,1,0,India,1,34.5,0
29:23.3,192.168.253.214,192.168.209.130,user_242,Operations,HTTPS,49085,443,1318,1806034,242390,3747,29:23.3,31:50.3,1,6,98,0,0,53,PowerUser,0,0,USA,0,43.38,0
03:08.2,192.168.50.79,10.51.231.184,user_472,Research,SSH,31361,443,348,264962,596329,1988,03:08.2,36:16.2,1,0,111,23,0,118,User,0,0,USA,1,53.65,0
11:30.2,172.31.125.168,192.168.59.223,user_18,Research,SSH,29025,445,86,306490,1241586,2481,11:30.2,52:51.2,1,10,80,10,0,1,PowerUser,0,0,Singapore,0,54.29,0
59:28.2,192.168.175.202,192.168.232.61,user_71,IT,TCP,50915,22,635,82006,1010153,2350,59:28.2,38:38.2,1,5,13,13,0,47,User,1,0,Singapore,0,58.52,0
58:04.9,192.168.16.150,172.19.21.105,user_76,HR,TCP,24410,22,234,976410,78791,3073,58:04.9,49:17.9,0,3,109,18,0,35,PowerUser,1,1,Germany,0,50.4,0
23:50.8,192.168.53.208,172.18.17.93,user_215,Operations,HTTPS,51855,445,1038,567046,101089,2684,23:50.8,08:34.8,1,6,82,1,0,1,PowerUser,1,0,Singapore,0,55.8,0
